Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a06Ro00000Zn61kIAB,511450,"Tampa, FL","Tampa, FL",TPA | FG | 120K4,2026-04-10,,2026-06-19T18:12:56.000+0000
a06Ro00000ZnQmoIAF,511440,"Tampa, FL","Tampa, FL",TPA | FG | 120K4,2026-04-10,,2026-06-19T18:12:59.000+0000
a06Ro00000ZnR2wIAF,511423,"Tampa, FL","Tampa, FL",TPA | FG | 135 | K5,2026-04-10,,2026-07-01T13:50:44.000+0000
a06Ro00000ZnRm5IAF,511420,"Tampa, FL","Tampa, FL",TPA | FG | 135 | K5,2026-04-10,,2026-06-19T18:12:59.000+0000
a06Ro00000ZnVOIIA3,511439,"Tampa, FL","Tampa, FL",TPA | FG | 120K4,2026-04-10,,2026-06-19T18:12:59.000+0000
a06Ro00000aCucnIAC,513027,"Tampa, FL","Tampa, FL",TPA | FG | 130G2,2026-04-10,,2026-06-19T18:13:38.000+0000
a06Ro00000aMNdxIAG,513944,"Tampa, FL","Tampa, FL",Acq Mod Repair Queue,2026-08-01,,2026-08-05T14:39:05.000+0000
a06Ro00000b5XinIAE,516971,"Tampa, FL","Tampa, FL",TPA | NC | 215 | A4,2026-08-05,,2026-08-07T14:05:18.000+0000
a06Ro00000bEfqnIAC,517561,"Tampa, FL",,TPA | FG | 110C2,2026-04-22,,2026-06-19T18:15:30.000+0000
a06Ro00000bYnaTIAS,518918,Tampa,WIP/KWHYBREW,,,,2026-08-18T11:03:57.000+0000
a06Ro00000bdnrbIAA,519374,"Tampa, FL",Final Tested - Pending FG,,,,2026-06-19T18:16:16.000+0000
a06Ro00000bpfNBIAY,519919,"Tampa, FL","Tampa, FL",TPA | NC | 210 | E3,2026-08-05,,2026-08-07T14:05:02.000+0000
a06Ro00000by6N2IAI,520674,"Tampa, FL","Tampa, FL",TPA | FG | 100 | G5,2026-04-10,,2026-06-19T18:16:47.000+0000
