Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UTuFNQA1,110320,"Tampa, FL","Tampa, FL",TPA | FG | 115 | F3,2026-04-10,,2026-06-19T15:03:47.000+0000
a064O00001UTutNQAT,110409,"Tampa, FL","Tampa, FL",TPA | FG | 105 | C3,2026-04-10,,2026-06-19T15:03:50.000+0000
a064O00001UTygNQAT,110942,"Tampa, FL","Tampa, FL",TPA | FG | 100 | H3,2026-04-10,,2026-06-19T15:04:04.000+0000
a064O00001UU2NFQA1,111419,"Tampa, FL","Tampa, FL",TPA | FG | 100 | F5,2026-04-10,,2026-07-08T14:04:31.000+0000
a064O00001UU3lnQAD,111516,"Tampa, FL","Tampa, FL",TPA | FG | 135 | F2,2026-04-10,,2026-06-19T15:04:17.000+0000
a064O00001UU7ncQAD,112523,"Tampa, FL","Tampa, FL",TPA | FG | 135 | H2,2026-04-10,,2026-06-19T15:04:41.000+0000
a064O00001UUKWnQAP,114468,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A3,2026-04-10,,2026-06-19T15:05:28.000+0000
a064O00001UUNHRQA5,114942,"Tampa, FL","Tampa, FL",TPA | FG | 105 | K1,2026-04-10,,2026-06-19T15:05:39.000+0000
a064O00001UUNV9QAP,115082,"Tampa, FL","Tampa, FL",TPA | FG | 110 | G5,2026-04-10,,2026-06-19T15:05:42.000+0000
a064O00001UUNVTQA5,115086,"Tampa, FL","Tampa, FL",TPA | FG | 125 | C1,2026-04-10,,2026-06-19T15:05:43.000+0000
a064O00001UURonQAH,115596,"Tampa, FL","Tampa, FL",TPA | FG | 110 | A2,2026-04-10,,2026-06-19T15:05:55.000+0000
a064O00001UUb1NQAT,117355,"Tampa, FL","Tampa, FL",TPA | FG | 130 | E4,2026-04-10,,2026-06-19T15:06:37.000+0000
a064O00001UUb6NQAT,117392,"Tampa, FL","Tampa, FL",TPA | FG | 115 | B2,2026-04-10,,2026-06-19T15:06:37.000+0000
a064O00001UUcknQAD,117582,"Tampa, FL","Tampa, FL",TPA | FG | 115 | A3,2026-04-10,,2026-06-19T15:06:41.000+0000
a064O00001UUdnxQAD,117657,"Tampa, FL","Tampa, FL",TPA | FG | 100 | J1,2026-04-10,,2026-06-19T15:06:42.000+0000
