Id,ParentId,SobjectType,PermissionsRead,PermissionsCreate,PermissionsEdit,PermissionsDelete,PermissionsViewAllRecords,PermissionsModifyAllRecords
1100B000007sddlQAA,0PS0B000000b4UMWAY,Preventive_Maintenance__c,true,false,false,false,true,false
1100B000007sddmQAA,0PS0B000000b4UMWAY,Document_Trained_Person__c,true,true,true,false,true,false
1100B000007sddnQAA,0PS0B000000b4UMWAY,Group_Trained_Person__c,true,true,true,false,true,false
1100B000007sddoQAA,0PS0B000000b4UMWAY,Hands_On_Trained_Person__c,true,true,true,false,true,false
1100B000007sddpQAA,0PS0B000000b4UMWAY,Training_Item__c,true,false,false,false,false,false
1100B000007sddqQAA,0PS0B000000b4UMWAY,CAPA_Action_Plan__c,true,false,false,false,true,false
1100B000007sddrQAA,0PS0B000000b4UMWAY,CAPA_Action__c,true,false,false,false,true,false
1100B000007sddsQAA,0PS0B000000b4UMWAY,CAPA__c,true,false,false,false,true,false
1100B000007sddtQAA,0PS0B000000b4UMWAY,Complaint__c,true,false,false,false,true,false
1100B000007sdduQAA,0PS0B000000b4UMWAY,abc__c,true,false,false,false,true,false
1100B000007sddvQAA,0PS0B000000b4UMWAY,Product_Repair__c,true,false,false,false,true,false
1100B000007sddyQAA,0PS0B000000b4UMWAY,ProductTestData__c,true,false,false,false,true,false
1100B000007sddzQAA,0PS0B000000b4UMWAY,ProductTest__c,true,false,false,false,true,false
1100B000007sde6QAA,0PS0B000000b4UMWAY,RMA__c,true,true,true,false,true,false
1100B000007sde7QAA,0PS0B000000b4UMWAY,Move_Location__c,true,false,false,false,true,false
1100B000007sde8QAA,0PS0B000000b4UMWAY,Review_Status__c,true,false,false,false,true,false
1100B000007sde9QAA,0PS0B000000b4UMWAY,Account,true,true,true,true,true,true
1100B000007sdeAQAQ,0PS0B000000b4UMWAY,Asset,true,false,false,false,true,false
1100B000007sdeBQAQ,0PS0B000000b4UMWAY,Campaign,true,false,false,false,true,false
1100B000007sdeCQAQ,0PS0B000000b4UMWAY,Case,true,true,true,false,true,false
1100B000007sdeIQAQ,0PS0B000000b4UMWAY,Contact,true,true,true,true,true,true
1100B000007sdeJQAQ,0PS0B000000b4UMWAY,Contract,true,false,false,false,true,false
1100B000007sdeLQAQ,0PS0B000000b4UMWAY,Document,true,false,false,false,true,false
1100B000007sdeMQAQ,0PS0B000000b4UMWAY,DuplicateRecordSet,true,false,false,false,true,false
1100B000007sdeRQAQ,0PS0B000000b4UMWAY,Lead,true,true,true,true,true,true
1100B000007sdeSQAQ,0PS0B000000b4UMWAY,Macro,true,false,true,true,true,false
1100B000007sdeWQAQ,0PS0B000000b4UMWAY,Opportunity,true,true,true,true,true,true
1100B000007sdeXQAQ,0PS0B000000b4UMWAY,Order,true,false,false,false,true,false
1100B000007sdeZQAQ,0PS0B000000b4UMWAY,Pricebook2,true,true,true,false,false,false
1100B000007sdeaQAA,0PS0B000000b4UMWAY,Product2,true,true,true,false,false,false
1100B000007sdebQAA,0PS0B000000b4UMWAY,PushTopic,true,false,false,false,false,false
