Id,Name,Location__c,Sub_Location__c,Current_Location__c,Inventory_Count_Date__c,Stock_Checked__c,LastModifiedDate
a064O00001UTtEnQAL,110263,"Tampa, FL",,TPA | FG | 130 | B5,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UU40NQAT,111700,"Tampa, FL",,TPA | FG | 110 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UU5NhQAL,112078,"Tampa, FL",,TPA | FG | 110 | G2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UUKXNQA5,114475,"Tampa, FL",,TPA | FG | 135 | A4,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UUNKlQAP,114977,"Tampa, FL",,TPA | FG | 135 | J2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UUON1QAP,115179,"Tampa, FL",,TPA | FG | 125 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UUSfnQAH,115827,"Tampa, FL",,TPA | FG | 105 | J1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UUfmnQAD,118075,"Tampa, FL",,TPA | FG | 120 | C1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UUfnGQAT,118072,"Tampa, FL",,TPA | FG | 115 | A3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UUgnbQAD,118247,"Tampa, FL",,TPA | FG | 125 | K2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UUhnWQAT,118428,"Tampa, FL",,TPA | NC | 215 | D3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UbNIEQA3,108239,"Tampa, FL",,TPA | FG | 125 | B4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UbNQIQA3,108325,"Tampa, FL",,TPA | FG | 135 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UbNQcQAN,108328,"Tampa, FL",,TPA | FG | 105 | F4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UbTN0QAN,108980,"Tampa, FL",,TPA | FG | 110 | K5,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001Ul4NsQAJ,120052,"Tampa, FL",,TPA | FG | 110 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UlDNCQA3,121443,"Tampa, FL",,TPA | FG | 115 | F5,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UlEN3QAN,121573,"Tampa, FL",,TPA | FG | 110 | J2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a064O00001UlNiKQAV,122799,"Tampa, FL",,TPA | FG | 120 | C5,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UlQnvQAF,123268,"Tampa, FL",,TPA | FG | 110 | G3,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UlnlOQAR,126655,"Tampa, FL",,TPA | FG | 130 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001UlnthQAB,126699,"Tampa, FL",,TPA | FG | 135 | G2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001WfknuQAB,131200,"Tampa, FL",,TPA | FG | 100 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a064O00001WfknzQAB,131201,"Tampa, FL",,TPA | FG | 100 | E2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bmn4UAAQ,141536,"Tampa, FL",,TPA | FG | 105 | C1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bmxONAAY,142084,"Tampa, FL",,TPA | FG | 105 | C1,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bn4QKAAY,142404,"Tampa, FL",,TPA | FG | 110 | H4,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnBhIAAU,142758,"Tampa, FL",,TPA | FG | 130 | A2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnCFHAA2,142806,"Tampa, FL",,TPA | FG | 135 | K2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnCaFAAU,142856,"Tampa, FL",,TPA | FG | 100 | F2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnFLlAAM,143096,"Tampa, FL",,TPA | FG | 130 | G3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnGuvAAE,143159,"Tampa, FL",,TPA | FG | 135 | E4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnHAyAAM,143204,"Tampa, FL",,TPA | FG | 120 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnHiqAAE,143273,"Tampa, FL",,TPA | FG | 135 | B1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnHkIAAU,143276,"Tampa, FL",,TPA | FG | 100 | F3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnIoyAAE,143338,"Tampa, FL",,TPA | FG | 110 | B2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnIpBAAU,143339,"Tampa, FL",,TPA | FG | 110 | A4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnMo2AAE,143561,"Tampa, FL",,TPA | STG | 820,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnMxSAAU,143568,"Tampa, FL",,TPA | FG | 100 | J2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnN1oAAE,143577,"Tampa, FL",,TPA | FG | 100 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnN57AAE,143585,"Tampa, FL",,TPA | FG | 115 | A2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnNETAA2,143621,"Tampa, FL",,TPA | FG | 115 | B1,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnRGaAAM,143879,"Tampa, FL",,TPA | FG | 135 | F3,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnTx3AAE,144021,"Tampa, FL",,TPA | FG | 125 | B1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnU2mAAE,144031,"Tampa, FL",,TPA | FG | 115 | B2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnU90AAE,144062,"Tampa, FL",,TPA | FG | 100 | G3,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnVzpAAE,144142,"Tampa, FL",,TPA | FG | 100 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnWkrAAE,144180,"Tampa, FL",,TPA | FG | 115 | B3,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnYxOAAU,144325,"Tampa, FL",,TPA | FG | 105 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bnaAoAAI,144438,"Tampa, FL",,TPA | FG | 120 | C3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnaIKAAY,144451,"Tampa, FL",,TPA | FG | 130 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bncBTAAY,144602,"Tampa, FL",,TPA | FG | 105 | F1,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bncI2AAI,144614,"Tampa, FL",,TPA | FG | 130 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bncIMAAY,144615,"Tampa, FL",,TPA | FG | 130 | C4,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
a065b00000bncdRAAQ,144642,"Tampa, FL",,TPA | FG | 135 | B3,2026-08-17,2026-08-17,2026-08-19T19:04:27.000+0000
a065b00000bnchRAAQ,144651,"Tampa, FL",,TPA | FG | 105 | H2,2026-08-17,2026-08-17,2026-08-19T19:04:29.000+0000
