"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009d6MWQAY","0PSU0000000SUL2OAO","JobProfile","true","true","true","false","false","false"
"1104O000009d6MYQAY","0PSU0000000SUL5OAO","AIRecordInsight","true","false","true","true","false","false"
"1104O000009d6MZQAY","0PSU0000000SUL5OAO","AIInsightReason","true","false","true","true","false","false"
"1104O000009d6MbQAI","0PSU0000000SUL5OAO","JobProfile","true","true","true","false","false","false"
"1104O000009d6MhQAI","0PSU0000000SUKzOAO","AIRecordInsight","true","true","true","true","true","true"
"1104O000009d6MjQAI","0PSU0000000SUKzOAO","AIInsightReason","true","true","true","true","true","true"
"1104O000009d6MrQAI","0PSU0000000SUKzOAO","JobProfile","true","true","true","true","true","true"
"1104O000009d6NZQAY","0PSU0000000SUL6OAO","AIRecordInsight","true","false","true","true","false","false"
"1104O000009d6NaQAI","0PSU0000000SUL6OAO","AIInsightReason","true","false","true","true","false","false"
"1104O000009d6NcQAI","0PSU0000000SUL6OAO","JobProfile","true","true","true","false","false","false"
"1104O000009d6NiQAI","0PS0B000000b6FJWAY","AIRecordInsight","true","false","false","false","true","false"
"1104O000009d6NkQAI","0PS0B000000b6FJWAY","AIInsightReason","true","false","false","false","true","false"
"1104O000009d6NsQAI","0PS0B000000b6FJWAY","JobProfile","true","false","false","false","true","false"
"1104O000009d6OaQAI","0PLU0000000Cdg4OAC","Snippet","true","true","true","true","true","true"
"1104O000009d6ObQAI","0PLU0000000GpqBOAS","Snippet","true","true","true","true","true","true"
"1104O000009d8qbQAA","100U0000000Hb0oIAC","WorkOrder","true","true","true","true","true","true"
"1104O000009d8qcQAA","100U0000000Hb0nIAC","WorkOrder","false","false","false","false","false","false"
"1104O000009d8qdQAA","100U0000000Hb0pIAC","WorkOrder","false","false","false","false","false","false"
"1104O000009d8qeQAA","100U0000000Q6PpIAK","WorkOrder","false","false","false","false","false","false"
"1104O000009dAI4QAM","100U0000000Hb0oIAC","Snippet","true","true","true","true","true","true"
"1104O000009dBbIQAU","0PSU0000000OMREOA4","Service_Contract_Coverages__c","true","true","true","true","false","false"
"1104O000009dBbNQAU","0PSU0000000OMREOA4","WorkOrder","true","true","true","true","true","true"
"1104O000009dBbSQAU","0PS0B000000b7VoWAI","Service_Contract_Coverages__c","true","true","true","true","true","false"
"1104O000009dC5fQAE","0PS0B000000icDDWAY","Vendor_Sourcing__c","true","true","true","true","true","false"
"1104O000009dE8SQAU","0PS4O000000WtjbWAC","Vendor_Sourcing__c","true","true","true","true","true","false"
"1104O000009dE8TQAU","0PS4O000000WtjbWAC","Opportunity","true","true","false","false","false","false"
"1104O000009dFRXQA2","0PS4O000000WtmBWAS","Account","true","true","true","true","true","true"
"1104O000009dJdOQAU","0PS0B000000b5SRWAY","QuickText","true","false","false","false","false","false"
"1104O000009dJdPQAU","0PS0B000000b4UMWAY","QuickText","true","false","false","false","false","false"
"1104O000009dJdQQAU","0PSU0000000OMREOA4","QuickText","true","false","false","false","false","false"
"1104O000009dJdRQAU","0PS0B000000b6NNWAY","QuickText","true","false","false","false","false","false"
"1104O000009dJdSQAU","0PS0B000000b7VoWAI","QuickText","true","false","false","false","false","false"
"1104O000009dJdTQAU","0PS0B000000icB2WAI","QuickText","true","false","false","false","false","false"
"1104O000009dJdUQAU","0PS0B000000icMyWAI","QuickText","true","false","false","false","false","false"
"1104O000009dJdWQAU","0PSU0000000ORDhOAO","QuickText","true","false","false","false","false","false"
"1104O000009dJdXQAU","0PSU0000000OKzxOAG","QuickText","true","false","false","false","false","false"
"1104O000009dJdYQAU","0PSU0000000SUL2OAO","QuickText","true","false","false","false","false","false"
"1104O000009dJdZQAU","0PSU0000000SUL4OAO","QuickText","true","false","false","false","false","false"
"1104O000009dJdaQAE","0PSU0000000SUL5OAO","QuickText","true","false","false","false","false","false"
"1104O000009dJdbQAE","0PSU0000000SUL6OAO","QuickText","true","false","false","false","false","false"
"1104O000009dJdcQAE","0PS4O000000OaNjWAK","QuickText","true","false","false","false","false","false"
"1104O000009dOQBQA2","0PS4O000000Wu5hWAC","Product2","true","true","true","false","false","false"
"1104O000009dPTyQAM","1000B0000009MXxQAM","ContractLineItem","true","true","true","false","false","false"
"1104O000009dPbxQAE","100U0000000Hb0mIAC","PartyConsent","true","true","true","true","true","true"
"1104O000009dPbyQAE","100U0000000Hb0mIAC","EngagementChannelType","true","true","true","true","true","true"
