DurableId,QualifiedApiName,Label
01I4O000000netG,Item_Receipt__c,Item Receipt
01I4O000000ney2,Harvest_Work_Order__c,Harvest Work Order
01I4O000000ney3,System_Work_Order__c,System Work Order
01I4O0000019tRJ,Warranty_Claim__c,Warranty Claim
01I4O000000nfEt,dlrs__DeclarativeLookupRollupSummaries__c,Declarative Lookup Rollup Summaries
01I4O000000nfEu,dlrs__LookupChildAReallyReallyReallyBigBigName__c,Lookup Child Big
01I4O000000nfEv,dlrs__LookupChild__c,Lookup Child
01I4O000000nfEw,dlrs__LookupParent__c,Lookup Parent
01I4O000000nfEx,dlrs__LookupRollupCalculateJob__c,Lookup Rollup Calculate Job
01I4O000000nfEz,dlrs__LookupRollupSummaryLog__c,Lookup Rollup Summary Log
01I4O000000nfF0,dlrs__LookupRollupSummaryScheduleItems__c,Lookup Rollup Summary Schedule Item
01I4O000000nfF1,dlrs__LookupRollupSummary__c,Lookup Rollup Summary
01IRo000002CkXx,FSL__Optimization_Data__c,Optimization Data
01I4O000000nfSC,PO_Bill__c,PO Bill
01I4O000000tRNL,Inventory_Adjustment__c,Inventory Adjustment
01I4O000000tRNf,Commission__c,Commission
01I4O000000tRNg,Loaner_Asset__c,Loaner Asset
01I4O000000tRO4,AVA_MAPPER__Entity_Use_code__c,Entity/Use Code
01I4O000000tRO9,AVA_SFCLOUD__AdditionalSettings__c,AdditionalSettings
01I4O000000tROA,AVA_SFCLOUD__AvaTaxCompany__c,AvaTax Company Code
01I4O000000tROB,AVA_SFCLOUD__AvaTax_Tax_Code__c,AvaTax Tax Code
01I4O000000tROC,AVA_SFCLOUD__AvaTax__c,AvaTax Settings
01I4O000000tROD,AVA_SFCLOUD__Countries__c,Countries
01I4O000000tROE,AVA_SFCLOUD__Exemption_Reasons__c,Exemption Reason
01I4O000000tROF,AVA_SFCLOUD__Exposure_Zone__c,Exposure Zone
01I4O000000tROG,AVA_SFCLOUD__MultiCompanyMapping__c,Multi Company Mapping
01I4O000000tROH,AVA_SFCLOUD__Shipping_Code__c,Shipping Code
01I4O000000tROI,AVA_SFCLOUD__TaxExemptionCertificate__c,Tax Exemption Certificate
