"Field"
"PermissionsAcceptInboundBundling"
"PermissionsAcceptRiskForProblems"
"PermissionsAccessBankingRelationshipAssistance"
"PermissionsAccessBankingServiceAgent"
"PermissionsAccessCMC"
"PermissionsAccessCommandCenter"
"PermissionsAccessContentBuilder"
"PermissionsAccessDispatchConsoleMap"
"PermissionsAccessDisputePrompts"
"PermissionsAccessEinsteinAutofill"
"PermissionsAccessOrchestrationObjects"
"PermissionsAccessPolicyAgent"
"PermissionsAccessServiceEinstein"
"PermissionsAccessSfDrive"
"PermissionsAccessToComplaintAgent"
"PermissionsAccessToComplaintMgmt"
"PermissionsAccessToDisputeManagement"
"PermissionsAccessToServiceProcess"
"PermissionsAccessWealthAdvisorAgent"
"PermissionsAccountSwitcherUser"
"PermissionsActivateContract"
"PermissionsActivateDeactivateNonSetupFlow"
"PermissionsActivateOrder"
"PermissionsActivateSystemModeFlows"
"PermissionsActivateTenantSchemaChanges"
"PermissionsActivitiesAccess"
"PermissionsAddAnalyticsRemoteConnections"
"PermissionsAddAsgntElmntToNonSetupFlow"
"PermissionsAddCollFltrElmntToNonSetupFlow"
"PermissionsAddCollSrtElmntToNonSetupFlow"
"PermissionsAddCreaRecElmntToNonSetupFlow"
"PermissionsAddDecisionElmntNonSetupFlow"
"PermissionsAddDelRecElmntToNonSetupFlow"
"PermissionsAddDirectMessageMembers"
"PermissionsAddGetRecElmntToNonSetupFlow"
"PermissionsAddLoopElmntToNonSetupFlow"
"PermissionsAddPathExprmElmntNonSetupFlow"
"PermissionsAddSendToFlowElmntToNonSetupFlow"
"PermissionsAddSubflowElmntToNonSetupFlow"
"PermissionsAddTrfmElmntToNonSetupFlow"
"PermissionsAddUpdtRecElmntToNonSetupFlow"
"PermissionsAddWaitToNonSetupFlow"
"PermissionsAddWaveNotificationRecipients"
"PermissionsAdvancedCsvDataImportUser"
"PermissionsAECommunityAccess"
"PermissionsAgentforceSalesChatGPT"
"PermissionsAgentforceSchedulingSupervisorView"
"PermissionsAgentforceServiceAgentUser"
"PermissionsAICreateInsightObjects"
"PermissionsAITestingUser"
"PermissionsAIViewInsightObjects"
"PermissionsAIWorkbenchUser"
"PermissionsAllowEmailIC"
"PermissionsAllowERIBasicAccess"
"PermissionsAllowLightningLogin"
"PermissionsAllowUniversalSearch"
"PermissionsAllowViewEditConvertedLeads"
"PermissionsAllowViewKnowledge"
"PermissionsApexRestServices"
"PermissionsApiEnabled"
"PermissionsApiUserOnly"
"PermissionsAppFrameworkManageApp"
"PermissionsAppFrameworkManageTemplate"
"PermissionsAppFrameworkViewApp"
"PermissionsApprovalAdmin"
"PermissionsApprovalDesigner"
"PermissionsAssessmentPlatformUser"
"PermissionsAssignPermissionSets"
"PermissionsAssignTopics"
"PermissionsAssocChgRqstAndProb"
"PermissionsAssocIncAndChgRqst"
"PermissionsAssocIncAndProb"
"PermissionsAssocRelAndChgRqst"
"PermissionsAssocRelAndInc"
"PermissionsAssocRelAndProb"
"PermissionsAttributionModelUser"
"PermissionsAuthorApex"
"PermissionsAutomateEmailContent"
"PermissionsAutomaticActivityCapture"
"PermissionsB2BMarketingAnalyticsUser"
