Id,Name,UserLicenseId,UserLicense.Name,UserType,Description,CreatedDate,LastModifiedDate
00e0B000000xXiBQAU,Marketing Custom,100U0000000Hb0mIAC,Salesforce,Standard,,2017-01-26T17:08:25.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000iBdxIAE,Marketing User,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00eRo00000Ob6tRIAR,Mechanical Services,100U0000000Hb0mIAC,Salesforce,Standard,,2026-03-26T11:52:20.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YascAAC,Michael Asmer Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2022-02-15T18:02:36.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YasXAAS,Michael Asmer Profile,100U00000000paUIAQ,Guest User License,Guest,,2022-02-15T17:55:10.000+0000,2026-06-30T03:31:13.000+0000
00eRo000001v3mzIAA,Minimum Access - API Only Integrations,1005b000000hWDGAA2,Salesforce Integration,Standard,,2024-02-10T06:05:08.000+0000,2026-08-12T10:06:52.000+0000
00e4O000001AD42QAG,Minimum Access - Salesforce,100U0000000Hb0mIAC,Salesforce,Standard,,2020-07-18T06:00:57.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzwRQAS,Mobile Instrument Profile,100U00000000paUIAQ,Guest User License,Guest,,2018-07-25T19:23:58.000+0000,2026-06-30T03:31:13.000+0000
00e0B000000ZzwMQAS,Mobile Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2018-07-25T19:20:46.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzSbQAK,Northfield Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2018-04-18T19:06:11.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzSWQA0,Northfield Profile,100U00000000paUIAQ,Guest User License,Guest,,2018-04-18T18:41:21.000+0000,2026-06-30T03:31:13.000+0000
00eRo00000EWq0DIAT,Oncura Partners Profile,100U00000000paUIAQ,Guest User License,Guest,,2025-05-05T04:21:20.000+0000,2026-06-30T03:31:13.000+0000
00eRo00000EVrmLIAT,Oncura Portal,1000B0000009MXxQAM,Customer Community Plus,PowerCustomerSuccess,,2025-05-04T03:39:49.000+0000,2026-08-12T10:06:52.000+0000
00eRo00000EVrkjIAD,Oncura Portal Profile,100U00000000paUIAQ,Guest User License,Guest,,2025-05-04T03:36:46.000+0000,2026-06-30T03:31:13.000+0000
00e5b000000YasDAAS,Ops Coordinator - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2022-02-14T10:32:34.000+0000,2026-08-12T10:06:52.000+0000
00e4O000000uOuQQAU,Parts Sales User,100U0000000Hb0mIAC,Salesforce,Standard,,2020-09-30T14:15:37.000+0000,2026-08-12T10:06:52.000+0000
00e4O000000uOjhQAE,Payment Request Profile,100U00000000paUIAQ,Guest User License,Guest,,2020-08-24T18:20:41.000+0000,2026-06-30T03:31:13.000+0000
00eU0000000JHJRIA4,Purchasing,100U0000000Hb0mIAC,Salesforce,Standard,,2015-02-05T05:58:35.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZybXQAS,Purchasing Manager,100U0000000Hb0mIAC,Salesforce,Standard,,2017-06-09T15:15:27.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZyhQQAS,QC Manager,100U0000000Hb0mIAC,Salesforce,Standard,,2017-07-05T18:38:57.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000xXjOQAU,QC/Inspection,100U0000000Hb0mIAC,Salesforce,Standard,,2017-02-01T13:35:05.000+0000,2026-08-12T10:06:52.000+0000
00e5b000000YasIAAS,QC/Inspection/Stores - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2022-02-14T10:42:33.000+0000,2026-08-12T10:06:52.000+0000
00eRo00000JtbyTIAR,Quality - UK,100U0000000Hb0mIAC,Salesforce,Standard,,2025-10-16T13:48:02.000+0000,2026-08-12T10:06:52.000+0000
00eU0000000iBdvIAE,Read Only,100U0000000Hb0mIAC,Salesforce,Standard,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
00e0B000000ZzTFQA0,Read Only with Custom Objects and Reports,100U0000000Hb0mIAC,Salesforce,Standard,Able to view reports and custom objects,2018-04-20T18:59:26.000+0000,2026-08-12T10:06:52.000+0000
