"Id","Name","Stock_Checked__c","Inventory_Count_Date__c","Location__c","Current_Location__c","Physical_Location__c"
"a06Ro00000CNRZ5IAP","351319","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B05B",""
"a06Ro00000CNRZ6IAP","351320","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B09G",""
"a06Ro00000CNRZ9IAP","351323","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09D",""
"a06Ro00000CNRZBIA5","351325","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09D",""
"a06Ro00000CNRZCIA5","351326","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09D",""
"a06Ro00000CNRZDIA5","351327","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09D",""
"a06Ro00000CNRZGIA5","351330","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14G",""
"a06Ro00000CNRZHIA5","351331","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14G",""
"a06Ro00000CNRZIIA5","351332","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14E",""
"a06Ro00000CNRZJIA5","351333","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14E",""
"a06Ro00000CNRZKIA5","351334","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14E",""
"a06Ro00000CNRZLIA5","351335","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D14E",""
"a06Ro00000CNRZMIA5","351336","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C10A",""
"a06Ro00000CNRZOIA5","351338","2025-12-11","","Salt Lake City, UT","Salt Lake City, UT | Main D 10D","Salt Lake City, UT"
"a06Ro00000CNRZPIA5","351339","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - D01D",""
"a06Ro00000CNRZQIA5","351340","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B02B",""
"a06Ro00000CNRZRIA5","351341","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09E",""
"a06Ro00000CNRZSIA5","351342","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C09E",""
"a06Ro00000CNTVSIA5","355269","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT | Main B 08A","Salt Lake City, UT"
"a06Ro00000CNTVTIA5","355270","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Core - NC05A3",""
"a06Ro00000CNTVUIA5","355271","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Core - NC03C3",""
"a06Ro00000CNTVVIA5","355272","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Core - NC05B2",""
"a06Ro00000CNTVXIA5","355274","2062-05-16","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Production PAD4B",""
"a06Ro00000CNTVYIA5","355275","2062-05-17","","Salt Lake City, UT","Salt Lake City, UT - WIP - JYOUNG",""
"a06Ro00000CNTVZIA5","355276","2062-05-18","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - WIP - JYOUNG",""
"a06Ro00000CNTVaIAP","355277","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main H 14D",""
"a06Ro00000CNTVbIAP","355278","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main H 14D",""
"a06Ro00000CNTVcIAP","355279","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main H 14D","Salt Lake City, UT"
"a06Ro00000CNTVeIAP","355281","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main H 14D",""
"a06Ro00000CNTVfIAP","355282","2026-03-26","2026-03-26","Salt Lake City, UT","Salt Lake City, UT | Main G 17E",""
"a06Ro00000CNTVmIAP","355289","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Core - NC04B3",""
"a06Ro00000CNTVuIAP","355297","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Main C 03F",""
"a06Ro00000CNTVvIAP","355298","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Main C 03F",""
"a06Ro00000CNXhAIAX","337888","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhBIAX","337889","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhCIAX","337890","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhDIAX","337891","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhEIAX","337892","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhFIAX","337893","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Main D 04B",""
"a06Ro00000CNXhGIAX","337894","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhHIAX","337895","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Core NC07 B1",""
"a06Ro00000CNXhIIAX","337896","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT | Main B 16C",""
"a06Ro00000CNXhJIAX","337897","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC04A3",""
"a06Ro00000CNXhKIAX","337898","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT | Main B 14E",""
"a06Ro00000CNXhMIAX","337900","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A2",""
"a06Ro00000CNXhNIAX","337901","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Test - NC01A2",""
"a06Ro00000CNXhOIAX","337902","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08F2F",""
"a06Ro00000CNXhPIAX","337903","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08F2F",""
"a06Ro00000CNXhQIAX","337904","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08F2F",""
"a06Ro00000CNXhRIAX","337905","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Core - NC08F2F",""
"a06Ro00000CNXhSIAX","337906","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Mezzanine - OF04B",""
"a06Ro00000CNXhTIAX","337907","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Mezzanine OB 07A",""
"a06Ro00000CNXhUIAX","337908","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT | Mezzanine OB 07A",""
"a06Ro00000CNXhWIAX","337910","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Computers - MSTRHD",""
"a06Ro00000CNXhXIAX","337911","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Computers - MSTRHD",""
"a06Ro00000CNXhYIAX","337912","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Main - HDCB2",""
"a06Ro00000CNXhZIAX","337913","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Main - HDCB2",""
"a06Ro00000CNXhbIAH","337915","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Main - HDCB2",""
"a06Ro00000CNXhcIAH","337916","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake, UT  - Main - HDCB2",""
"a06Ro00000CNXhdIAH","342433","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B10F",""
"a06Ro00000CNXhfIAH","342435","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B10F",""
"a06Ro00000CNXhiIAH","342438","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - B10F",""
"a06Ro00000CNXhnIAH","342443","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B10F",""
"a06Ro00000CNXhpIAH","342445","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B10F",""
"a06Ro00000CNXhrIAH","342447","2026-07-30","2026-07-30","Salt Lake City, UT","Salt Lake City, UT - Main - B02A",""
"a06Ro00000CNXhsIAH","342448","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhtIAH","342449","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
"a06Ro00000CNXhuIAH","342450","2025-12-11","2024-12-20","Salt Lake City, UT","Salt Lake City, UT - Main - C02B",""
